mu	2.7005	2.0012
sigma	0.1491	0.1355
A	4.3855	2.4474

	Function 1			Function 2
X	PRE	EXP	F(x)	PRE	EXP	F(x)
540	11.7341473554694	-0.022878426734006	1.15E+01	7.20569252438721	-14.5598320938998	3.42E-06
550	11.7341473554694	-0.035739453796656	1.13E+01	7.20569252438721	-14.8789227145699	2.49E-06
560	11.7341473554694	-0.051148561832522	1.11E+01	7.20569252438721	-15.1956294846371	1.81E-06
570	11.7341473554694	-0.068966777205807	1.10E+01	7.20569252438721	-15.5099777449734	1.32E-06
580	11.7341473554694	-0.08906405960595	1.07E+01	7.20569252438721	-15.8219935504958	9.69E-07
590	11.7341473554694	-0.111318605622027	1.05E+01	7.20569252438721	-16.1317035177843	7.11E-07
600	11.7341473554694	-0.135616216551338	1.02E+01	7.20569252438721	-16.4391346924118	5.23E-07
610	11.7341473554694	-0.161849723603278	9.98E+00	7.20569252438721	-16.744314433464	3.85E-07
620	11.7341473554694	-0.18991846448338	9.70E+00	7.20569252438721	-17.0472703130704	2.85E-07
630	11.7341473554694	-0.219727806055783	9.42E+00	7.20569252438721	-17.3480300290591	2.11E-07
640	11.7341473554694	-0.251188708401427	9.13E+00	7.20569252438721	-17.6466213290968	1.56E-07
650	11.7341473554694	-0.28421732612788	8.83E+00	7.20569252438721	-17.9430719448921	1.16E-07
660	11.7341473554694	-0.318734643256288	8.53E+00	7.20569252438721	-18.237409535223	8.66E-08
670	11.7341473554694	-0.354666138421216	8.23E+00	7.20569252438721	-18.5296616367078	6.46E-08
680	11.7341473554694	-0.391941477478389	7.93E+00	7.20569252438721	-18.8198556213784	4.83E-08
690	11.7341473554694	-0.430494230930526	7.63E+00	7.20569252438721	-19.1080186602293	3.62E-08
700	11.7341473554694	-0.470261613858529	7.33E+00	7.20569252438721	-19.3941776920223	2.72E-08
710	11.7341473554694	-0.511184246289325	7.04E+00	7.20569252438721	-19.678359396713	2.05E-08
720	11.7341473554694	-0.553205932146959	6.75E+00	7.20569252438721	-19.9605901729453	1.54E-08
730	11.7341473554694	-0.596273455123893	6.46E+00	7.20569252438721	-20.2408961191235	1.17E-08
740	11.7341473554694	-0.64033638997798	6.19E+00	7.20569252438721	-20.5193030176364	8.84E-09
750	11.7341473554694	-0.685346927910106	5.91E+00	7.20569252438721	-20.7958363218512	6.70E-09
760	11.7341473554694	-0.73125971481029	5.65E+00	7.20569252438721	-21.0705211455486	5.09E-09
770	11.7341473554694	-0.778031701278219	5.39E+00	7.20569252438721	-21.3433822545014	3.88E-09
780	11.7341473554694	-0.825622003429543	5.14E+00	7.20569252438721	-21.6144440599401	2.96E-09
